hora,cpu_porcentagem,ram_porcentagem,disco_porcentagem
2025-07-04T08:36:39.015576,21.1,45.4,49.0
2025-07-04T08:36:40.062657,3.9,45.4,49.0
2025-07-04T08:36:45.023901,10.6,45.4,49.0
2025-07-04T08:36:46.133070,15.8,45.4,49.0
2025-07-04T08:36:51.043157,2.6,45.1,49.0
2025-07-04T08:36:52.167487,2.5,45.0,49.0
2025-07-04T08:36:57.056703,1.7,44.6,49.0
2025-07-04T08:36:58.214069,1.5,44.6,49.0
2025-07-04T08:37:03.072948,0.9,44.5,49.0
2025-07-04T08:37:04.246659,0.8,44.5,49.0
2025-07-04T08:37:09.085028,1.2,44.5,49.0
2025-07-04T08:37:10.289133,1.0,44.5,49.0
2025-07-04T08:37:15.091373,2.5,44.5,49.0
2025-07-04T08:37:16.341082,18.3,44.5,49.0
2025-07-04T08:37:21.106488,2.1,44.5,49.0
2025-07-04T08:37:22.383299,9.2,44.5,49.0
2025-07-04T08:37:27.110665,1.8,44.5,49.0
2025-07-04T08:37:28.427040,1.8,44.6,49.0
2025-07-04T08:37:33.118971,4.8,44.6,49.0
2025-07-04T08:37:34.469775,6.8,44.6,49.0
2025-07-04T08:37:39.130520,7.3,44.7,49.0
2025-07-04T08:37:40.532429,5.5,44.7,49.0
2025-07-04T08:37:45.142679,2.2,44.7,49.0
2025-07-04T08:37:46.597248,1.6,44.7,49.0
2025-07-04T08:37:51.163781,1.8,44.6,49.0
2025-07-04T08:37:52.649160,1.6,44.6,49.0
2025-07-04T08:37:57.173533,1.0,44.6,49.0
2025-07-04T08:37:58.691056,0.7,44.6,49.0
2025-07-04T08:38:03.182345,1.3,44.6,49.0
2025-07-04T08:38:04.745958,0.8,44.6,49.0
2025-07-04T08:38:09.193285,1.5,44.5,49.0
2025-07-04T08:38:10.788495,1.2,44.5,49.0
2025-07-04T08:38:15.213182,1.8,44.5,49.0
2025-07-04T08:38:16.833054,3.0,44.5,49.0
2025-07-04T08:38:21.233831,1.0,44.6,49.0
2025-07-04T08:38:22.890978,2.1,44.6,49.0
2025-07-04T08:38:27.247987,3.2,44.6,49.0
2025-07-04T08:38:28.945130,3.1,44.6,49.0
2025-07-04T08:38:33.260908,2.1,44.6,49.0
2025-07-04T08:38:34.993182,1.8,44.5,49.0
2025-07-04T08:38:39.278910,0.6,44.6,49.0
2025-07-04T08:38:41.078398,3.0,44.6,49.0
2025-07-04T08:38:45.285451,2.5,44.6,49.0
2025-07-04T08:38:47.139924,1.3,44.6,49.0
2025-07-04T08:38:51.290705,1.7,44.7,49.0
2025-07-04T08:38:53.197983,2.1,44.7,49.0
2025-07-04T08:38:57.294542,3.3,44.6,49.0
2025-07-04T08:38:59.257996,1.0,44.5,49.0
2025-07-04T08:39:03.303479,3.1,44.5,49.0
2025-07-04T08:39:05.317119,3.5,44.5,49.0
2025-07-04T08:39:09.314997,6.4,44.8,49.0
2025-07-04T08:39:11.368746,8.0,44.7,49.0
